ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
1692466,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587933 5287125),148.07126,-42.56327,587933,5287125,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692467,B76-00642,Eudyptula minor,,,little penguin,lpns,HBBP2-02,POINT (587715 5269790),148.07128,-42.71938,587715,5269790,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"fresh guano and down, probable chick fledge, 5 m west of boundary marker",
1692468,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587935 5287126),148.07129,-42.56326,587935,5287126,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692469,B76-00642,Eudyptula minor,,,little penguin,lpns,HBBP2-01,POINT (587717 5269792),148.0713,-42.71937,587717,5269792,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,presume chicks with down present,
1692470,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587717 5269742),148.07131,-42.71982,587717,5269742,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692471,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587717 5269693),148.07132,-42.72026,587717,5269693,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692472,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587718 5269737),148.07133,-42.71986,587718,5269737,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692473,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587718 5269683),148.07133,-42.72035,587718,5269683,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692474,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587719 5269683),148.07135,-42.72035,587719,5269683,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692475,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587719 5269680),148.07135,-42.72037,587719,5269680,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692476,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587721 5269798),148.07135,-42.71931,587721,5269798,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692477,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587720 5269706),148.07135,-42.72014,587720,5269706,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
